guide_id	candidate_rows	labeled_rows	positive_rows	topo_positive_rows	be_positive_rows	conventional_positive_rows	conventional_negative_rows	strict_panel_rows	core96_rows	primary_guide_family	family_order	guide_fold
g_f3a00f5053e76935	18247	1	0	0	0	0	1	2	0	CRISPRoffT	2	1
g_d43cf10628f73be7	10327	6862	6862	6862	0	0	0	15	3	TOPO	0	1
g_1a45c40603ecaa52	10289	1	0	0	0	0	0	0	0	other_labeled	3	1
g_32d9d659e090053b	91144	2709	0	0	0	0	0	4	1	other_labeled	3	1
g_629a16b8669ccf22	18185	1302	0	0	0	0	0	0	0	other_labeled	3	1
g_851b1c92aa02412a	35967	5453	0	0	0	0	0	4	1	other_labeled	3	1
g_9601f96b8205dbae	13738	992	0	0	0	0	0	3	0	other_labeled	3	1
g_996f9d90c0531903	8959	3	0	0	0	0	0	0	0	other_labeled	3	1
g_f3ecbbfe0543e450	7777	701	0	0	0	0	0	0	0	other_labeled	3	1
g_fa82387dac2e9cef	16860	1724	0	0	0	0	0	2	0	other_labeled	3	1
g_ffceceaaf1463244	11484	1027	0	0	0	0	0	0	0	other_labeled	3	1
g_34068bebb1a4bee2	12125	0	0	0	0	0	0	0	0	unlabeled_only	4	1
g_cb739f4136fa2691	20241	0	0	0	0	0	0	3	0	unlabeled_only	4	1
g_f4eb33e54a39f221	6045	0	0	0	0	0	0	0	0	unlabeled_only	4	1
g_11111952dac36cdb	8225	774	593	0	593	0	0	10	2	BE	1	2
g_20fc86ffe17d7d10	10700	1	1	0	1	0	0	0	0	BE	1	2
g_5c2aa5d9268f4e5d	25798	105	105	0	105	0	0	7	1	BE	1	2
g_1515ef85acafea77	10185	1	0	0	0	0	1	2	0	CRISPRoffT	2	2
g_27beed8972f27975	12073	3	1	0	0	1	0	2	1	CRISPRoffT	2	2
g_62cf73bbb44d2648	23228	129	38	0	0	38	13	14	3	CRISPRoffT	2	2
g_a996b139b6f90d92	8599	28	1	0	0	1	26	3	1	CRISPRoffT	2	2
g_b031966804749755	21763	158	7	0	0	7	73	6	2	CRISPRoffT	2	2
g_c24debfa5ca7131a	15808	2365	2365	2365	0	0	0	15	4	TOPO	0	2
g_0d65fe5a8bfdc81c	39698	2534	0	0	0	0	0	2	1	other_labeled	3	2
g_1553f6a8d5d1d108	15654	954	0	0	0	0	0	2	0	other_labeled	3	2
g_1dd922a185c4aac4	13140	1481	0	0	0	0	0	3	0	other_labeled	3	2
g_2c40eef573a4acd7	109847	52681	0	0	0	0	0	3	1	other_labeled	3	2
g_3cccef9458c0a61a	58742	123	0	0	0	0	0	7	3	other_labeled	3	2
g_546c908d74a3d55d	7794	1	0	0	0	0	0	1	0	other_labeled	3	2
g_c5dd1c9cd9aa1113	39427	1020	0	0	0	0	0	1	1	other_labeled	3	2
g_c7eed27b07b04471	33077	1169	0	0	0	0	0	4	3	other_labeled	3	2
g_ca3a5345bbba8100	15828	2	0	0	0	0	0	2	0	other_labeled	3	2
g_df93500d0f9b91f9	27718	4983	0	0	0	0	0	2	1	other_labeled	3	2
g_65b088df8ca51280	3897	0	0	0	0	0	0	0	0	unlabeled_only	4	2
g_b88e23cf8f9bf0b6	18524	0	0	0	0	0	0	1	0	unlabeled_only	4	2
g_d85e6f0486a8927e	27790	0	0	0	0	0	0	1	0	unlabeled_only	4	2
g_fc6e49a8e838a3b2	8895	0	0	0	0	0	0	0	0	unlabeled_only	4	2
g_cdd0876150bdb37b	7316	74	56	0	56	0	0	7	2	BE	1	3
g_f93b1f528cddc598	24493	2446	1554	0	1554	0	0	9	2	BE	1	3
g_0ca96dc1d1e19610	9259	147	1	0	0	1	62	6	2	CRISPRoffT	2	3
g_3934206de1726f5b	11011	27	1	0	0	1	4	3	1	CRISPRoffT	2	3
g_a16a80a942453542	9765	116	3	0	0	3	35	6	2	CRISPRoffT	2	3
g_d97991e20ef9740f	36808	7	0	0	0	0	1	4	2	CRISPRoffT	2	3
g_b8e5a1e053019d30	7701	2358	2358	2358	0	0	0	14	3	TOPO	0	3
g_050f422a0fde0f38	10890	1	0	0	0	0	0	2	0	other_labeled	3	3
g_5c868028787f53c4	40125	6346	0	0	0	0	0	3	1	other_labeled	3	3
g_6b278458b5dfe424	16075	2022	0	0	0	0	0	2	1	other_labeled	3	3
g_8958258b3d7d5e6c	17529	1009	0	0	0	0	0	2	1	other_labeled	3	3
g_8f9c78dbad2ddcb6	29002	3037	0	0	0	0	0	2	0	other_labeled	3	3
g_cb924d51b1f7134d	18114	1047	0	0	0	0	0	2	1	other_labeled	3	3
g_cded711183a9a330	14534	3	0	0	0	0	0	2	0	other_labeled	3	3
g_ee6d2cc964690bd5	9993	736	0	0	0	0	0	2	1	other_labeled	3	3
g_f429bfb1608edd0f	10488	1375	0	0	0	0	0	0	0	other_labeled	3	3
g_5a92b94c35abd4c1	16520	0	0	0	0	0	0	0	0	unlabeled_only	4	3
g_6fc29ac43b8f5030	7843	0	0	0	0	0	0	1	0	unlabeled_only	4	3
g_cac195d429d1734b	22264	0	0	0	0	0	0	5	1	unlabeled_only	4	3
g_a3cb61a782899bca	15573	77	77	0	77	0	0	11	3	BE	1	4
g_c6ac45967a54f3fc	8566	699	535	0	535	0	0	8	2	BE	1	4
g_49ceb03a1bd11f6b	8890	89	2	0	0	2	14	7	2	CRISPRoffT	2	4
g_70000043fdbea118	13892	1144	30	0	0	30	44	11	2	CRISPRoffT	2	4
g_8aedc7c9d0968e96	21254	409	6	0	0	6	41	5	2	CRISPRoffT	2	4
g_fa12bf2fcce5660b	15351	1	1	0	0	1	0	1	0	CRISPRoffT	2	4
g_99fbd12b9ce962f1	21613	829	829	829	0	0	0	13	3	TOPO	0	4
g_d9190978ad6c1893	11501	2088	2088	2088	0	0	0	15	3	TOPO	0	4
g_208a5c81fd5fcb62	64474	8682	0	0	0	0	0	7	0	other_labeled	3	4
g_285f4dc769f0e799	17107	1011	0	0	0	0	0	0	0	other_labeled	3	4
g_3bdd8b8f801b2bb1	13129	1	0	0	0	0	0	1	0	other_labeled	3	4
g_8491ba63e1175e8e	17860	774	0	0	0	0	0	2	0	other_labeled	3	4
g_d34b72dc728debac	39666	2049	0	0	0	0	0	3	2	other_labeled	3	4
g_d3c3b5549c81adaf	26883	22	0	0	0	0	0	0	0	other_labeled	3	4
g_e65ede72481a4d25	27464	4835	0	0	0	0	0	1	0	other_labeled	3	4
g_ef7c7582f0545e35	13219	1056	0	0	0	0	0	1	0	other_labeled	3	4
g_f4ba1a49a4a25a2f	26902	1447	0	0	0	0	0	4	0	other_labeled	3	4
g_0a881b245aea8740	7885	0	0	0	0	0	0	0	0	unlabeled_only	4	4
g_e543cf7b2dd6225d	26556	0	0	0	0	0	0	3	1	unlabeled_only	4	4
g_e8d6d29d65480faf	17871	0	0	0	0	0	0	0	0	unlabeled_only	4	4
